electron_density_m3,freq_ghz,transmission_coefficient
5e+18,0.301,0.0
5e+18,0.501,0.0
5e+18,0.702,0.0
5e+18,0.902,0.0
5e+18,1.103,0.0
5e+18,1.303,0.0
5e+18,1.504,0.0
5e+18,1.704,0.0
5e+18,1.905,0.0
5e+18,2.105,0.0
5e+18,2.306,0.0
5e+18,2.506,0.0
5e+18,2.707,0.0
5e+18,2.907,0.0
5e+18,3.108,0.0
5e+18,3.308,0.0
5e+18,3.509,0.0
5e+18,3.709,0.0
5e+18,3.91,0.0
5e+18,4.11,0.0
5e+18,4.311,0.0
5e+18,4.511,0.0
5e+18,4.712,0.0
5e+18,4.912,0.0
5e+18,5.113,0.0
5e+18,5.313,0.0
5e+18,5.514,0.0
5e+18,5.714,0.0
5e+18,5.915,0.0
5e+18,6.115,0.0
5e+18,6.316,0.0
5e+18,6.516,0.0
5e+18,6.717,0.0
5e+18,6.917,0.0
5e+18,7.118,0.0
5e+18,7.318,0.0
5e+18,7.519,0.0
5e+18,7.719,0.0
5e+18,7.92,0.0
5e+18,8.12,0.0
5e+18,8.321,0.0
5e+18,8.521,0.0
5e+18,8.722,0.0
5e+18,8.922,0.0
5e+18,9.123,0.0
5e+18,9.323,0.0
5e+18,9.524,0.0
5e+18,9.724,0.0
5e+18,9.925,0.0
5e+18,10.125,0.0
5e+18,10.326,0.0
5e+18,10.526,0.0
5e+18,10.727,0.0
5e+18,10.927,0.0
5e+18,11.128,0.0
5e+18,11.328,0.0
5e+18,11.529,0.0
5e+18,11.729,0.0
5e+18,11.93,0.0
5e+18,12.13,0.0
5e+18,12.331,0.0
5e+18,12.531,0.0
5e+18,12.732,0.0
5e+18,12.932,0.0
5e+18,13.133,0.0
5e+18,13.333,0.0
5e+18,13.534,0.0
5e+18,13.734,0.0
5e+18,13.935,0.0
5e+18,14.135,0.0
5e+18,14.336,0.0
5e+18,14.536,0.0
5e+18,14.737,0.0
5e+18,14.937,0.0
5e+18,15.138,0.0
5e+18,15.338,0.0
5e+18,15.539,0.0
5e+18,15.739,0.0
5e+18,15.94,0.0
5e+18,16.14,0.0
5e+18,16.341,0.0
5e+18,16.541,0.0
5e+18,16.742,0.0
5e+18,16.942,0.0
5e+18,17.143,0.0
5e+18,17.343,0.0
5e+18,17.544,0.0
5e+18,17.744,0.0
5e+18,17.945,0.0
5e+18,18.145,0.0
5e+18,18.346,0.0
5e+18,18.546,0.0
5e+18,18.747,0.0
5e+18,18.947,0.0
5e+18,19.148,0.0
5e+18,19.348,0.0
5e+18,19.549,0.0
5e+18,19.749,0.0
5e+18,19.95,0.0
5e+18,20.15,0.01011
5e+18,20.351,0.03031
5e+18,20.551,0.05071
5e+18,20.752,0.07132
5e+18,20.952,0.09212
5e+18,21.153,0.11312
5e+18,21.353,0.13432
5e+18,21.554,0.15572
5e+18,21.754,0.17733
5e+18,21.955,0.19913
5e+18,22.155,0.22113
5e+18,22.356,0.24333
5e+18,22.556,0.26573
5e+18,22.757,0.28834
5e+18,22.957,0.31114
5e+18,23.158,0.33414
5e+18,23.358,0.35734
5e+18,23.559,0.38075
5e+18,23.759,0.40435
5e+18,23.96,0.42815
5e+18,24.16,0.45215
5e+18,24.361,0.47636
5e+18,24.561,0.50076
5e+18,24.762,0.52536
5e+18,24.962,0.55016
5e+18,25.163,0.57517
5e+18,25.363,0.60037
5e+18,25.564,0.62577
